,Pr13,Pr15,Pr14,Pi1,Pi2,Pr11,Pr12
33,1,2,,,,1,
34,2,0,,,,0,
35,1,1,,,,0,
36,6,1,,,,1,
37,2,3,,,,0,
38,3,0,,,,0,
39,1,1,,,,0,
40,1,3,,,,3,0
41,0,5,,,,2,0
42,0,4,,,,1,0
43,0,2,0,,0,,2
44,0,4,0,,0,,0
45,0,1,0,,0,,0
46,0,1,0,,0,,0
47,0,0,0,,0,,1
48,1,0,0,,0,,0
49,1,0,0,,2,,0
50,2,,0,,2,,1
51,3,,1,,1,,1
52,0,,0,,1,,1
53,,,0,0,0,,0
54,,,0,2,2,,0
55,,,1,3,2,,1
56,,,0,2,0,,1
57,,,0,0,0,,1
58,,1,1,1,0,,1
59,2,1,2,2,1,,1
60,0,,1,2,0,,3
61,0,,0,1,1,,5
62,0,,3,0,0,,1
63,0,,0,,1,,3
64,1,,1,,0,,2
65,0,,0,,0,,0
66,1,,,,0,,0
67,1,,,,1,,
68,2,,,,0,,
69,0,,,,0,,
70,0,,,,0,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
